,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
62,"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
63,"Jernbanegade 11 02 1, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
64,"Jernbanegade 11 02 2, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
65,"Jernbanegade 11 02 3, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
66,"Jernbanegade 11 02 4, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
67,"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False
68,"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,400,False,15,False,True,False
69,"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False
70,"Jernbanegade 16 A, 6000, Kolding, Danmark",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,660,False,16,False,True,False
71,"Jernbanegade 16 A, 6000, Kolding, Danmark",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,16,False,True,False
72,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,False,True,True
73,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,False,True,True
74,"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,17,False,True,True
75,"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,19,True,True,False
76,"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,19,True,True,False
77,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
78,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True
79,"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
80,"Jernbanegade 21, 6000, Kolding, Danmark",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,21,False,True,False
81,"Jernbanegade 21, 6000, Kolding, Danmark",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False
82,"Jernbanegade 21, 6000, Kolding, Danmark",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,400,False,21,False,True,False
83,"Jernbanegade 22, 6000, Kolding, Danmark",55.48999509999999,9.4762886,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,22,False,True,False
84,"Jernbanegade 23, 6000, Kolding, Danmark",55.4901523,9.4771024,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,23,False,True,True
85,"Jernbanegade 23, 6000, Kolding, Danmark",55.4901523,9.4771024,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,23,False,True,True
86,"Jernbanegade 23, 6000, Kolding, Danmark",55.4901523,9.4771024,Jernbanegade ,6000,Kolding,1,"130 l. sæk, restaffald erhverv","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,130,True,23,False,True,False
87,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
88,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,24,False,True,True
89,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,24,False,True,True
90,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
91,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
92,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,24,False,True,True
93,"Jernbanegade 24, 6000, Kolding, Danmark",55.4899763,9.4765305,Jernbanegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,24,False,True,True
